gun,ay,tavg,yagis_turu
1,1,-4.8,0
2,1,-4.3,0
3,1,-5.4,2
4,1,-2.3,2
5,1,0.5,2
6,1,1.8,2
7,1,3.4,2
8,1,6.4,2
9,1,6.3,0
10,1,11.1,0
11,1,10.2,1
12,1,14.3,0
13,1,6.4,1
14,1,7.2,1
18,1,-1.6,1
19,1,-0.2,0
20,1,0.4,0
21,1,0.5,0
22,1,0.1,0
23,1,-2.4,0
24,1,-3.2,0
26,1,-0.6,0
30,1,9.1,0
2,2,10.9,0
3,2,11.3,0
4,2,14.0,1
6,2,4.0,2
10,2,10.7,0
12,2,13.2,0
13,2,15.1,1
14,2,15.6,1
15,2,17.1,1
16,2,17.8,0
17,2,14.0,0
22,2,9.6,0
23,2,12.5,0
24,2,13.3,1
25,2,9.1,1
26,2,11.3,0
28,2,9.8,0
29,2,10.9,0
1,3,14.2,0
3,3,12.3,1
4,3,11.3,1
5,3,10.0,1
6,3,11.6,0
7,3,14.1,0
8,3,13.6,1
9,3,11.9,1
10,3,9.9,1
11,3,11.8,1
13,3,9.6,1
15,3,5.2,0
16,3,5.6,0
18,3,7.3,0
19,3,9.7,0
20,3,9.5,0
21,3,11.6,0
22,3,14.4,0
23,3,15.0,0
24,3,12.2,1
26,3,6.6,1
27,3,6.6,0
28,3,8.9,0
29,3,11.3,0
30,3,14.4,0
31,3,15.2,0
1,4,15.7,0
2,4,13.8,0
3,4,11.9,0
7,4,18.8,0
8,4,18.3,0
9,4,17.8,0
10,4,15.7,1
11,4,14.6,0
12,4,17.1,0
13,4,17.3,0
14,4,18.6,0
15,4,19.7,0
16,4,20.8,0
17,4,22.0,0
18,4,23.2,0
19,4,23.4,0
20,4,18.1,0
21,4,16.3,0
22,4,17.4,0
24,4,15.4,0
25,4,15.9,1
26,4,9.9,1
27,4,16.7,1
30,4,19.6,0
1,5,16.5,0
2,5,14.9,1
3,5,15.1,1
4,5,13.3,1
5,5,12.6,1
6,5,15.4,1
8,5,18.6,0
9,5,18.8,0
10,5,19.1,0
11,5,18.4,0
12,5,19.6,0
13,5,21.2,1
14,5,21.2,0
15,5,20.2,0
16,5,18.3,0
17,5,16.3,1
18,5,16.8,0
19,5,17.3,0
20,5,19.6,0
21,5,15.9,1
23,5,20.4,0
24,5,19.3,0
25,5,15.6,1
26,5,17.6,1
27,5,17.8,1
28,5,21.2,1
29,5,22.1,0
30,5,23.4,0
31,5,24.3,0
1,6,25.6,0
2,6,24.6,0
3,6,20.9,1
4,6,21.6,1
5,6,23.2,0
6,6,19.7,1
7,6,20.0,0
8,6,18.8,0
9,6,18.8,0
10,6,20.0,0
11,6,22.2,0
12,6,24.6,0
13,6,23.4,1
14,6,20.3,1
15,6,26.3,1
16,6,29.0,0
17,6,30.4,0
18,6,32.2,0
19,6,30.3,0
20,6,30.9,0
21,6,31.5,0
22,6,31.3,0
23,6,31.5,0
24,6,31.6,0
25,6,28.9,0
26,6,26.1,1
27,6,28.1,0
28,6,25.3,1
29,6,24.9,1
30,6,28.9,0
1,7,30.7,0
2,7,30.0,1
3,7,29.2,1
4,7,26.9,1
5,7,26.7,0
6,7,27.6,0
7,7,27.7,0
8,7,26.2,0
9,7,26.9,0
10,7,28.2,0
11,7,27.7,0
12,7,27.4,0
13,7,29.0,0
14,7,29.5,0
15,7,32.2,0
16,7,33.1,0
17,7,31.5,0
18,7,28.3,0
19,7,28.6,0
20,7,26.1,0
21,7,27.1,0
22,7,28.6,0
23,7,30.6,0
24,7,30.8,0
25,7,29.7,0
26,7,28.7,0
27,7,28.9,0
28,7,29.4,0
29,7,30.0,0
30,7,30.7,0
31,7,31.2,0
1,8,30.7,0
2,8,29.2,0
3,8,27.8,0
4,8,27.5,0
5,8,27.8,0
6,8,28.4,0
7,8,29.3,0
8,8,28.1,0
9,8,27.2,0
10,8,29.3,0
11,8,31.8,0
12,8,23.8,0
13,8,21.9,0
14,8,25.7,0
15,8,27.0,0
16,8,28.3,0
17,8,28.8,0
18,8,28.7,0
19,8,26.9,0
20,8,27.1,0
21,8,28.2,0
22,8,28.6,1
23,8,27.3,0
24,8,26.2,0
25,8,25.2,0
26,8,26.2,0
27,8,26.9,0
28,8,27.0,0
29,8,26.5,1
30,8,26.9,0
31,8,26.9,0
1,9,28.4,0
2,9,26.9,0
3,9,27.6,0
4,9,28.5,0
5,9,27.7,0
6,9,29.3,0
7,9,28.2,0
8,9,29.7,0
9,9,28.6,0
10,9,27.7,0
11,9,27.7,0
12,9,26.9,0
13,9,27.0,0
14,9,28.1,0
15,9,26.3,1
16,9,25.1,1
17,9,24.1,0
18,9,25.3,0
19,9,24.5,0
20,9,19.8,1
21,9,17.2,1
22,9,16.1,1
23,9,16.1,0
24,9,17.0,0
25,9,19.3,0
26,9,18.2,0
27,9,18.1,0
28,9,19.8,0
29,9,20.5,0
30,9,22.3,0
1,10,22.3,0
2,10,21.4,0
3,10,21.3,0
4,10,19.4,1
5,10,16.2,1
6,10,15.9,0
7,10,17.1,0
8,10,14.1,1
9,10,14.4,1
10,10,15.7,0
11,10,17.8,1
12,10,17.6,1
13,10,14.6,1
14,10,13.6,0
15,10,12.8,0
16,10,15.3,0
17,10,13.2,1
18,10,11.3,1
19,10,11.8,0
20,10,13.8,0
21,10,15.6,0
22,10,15.6,0
23,10,17.1,0
24,10,15.6,0
